Date,Temp
2018-6-21,22.723
2018-6-22,23.358
2018-6-23,20.986
2018-6-24,20.524
2018-6-25,19.699
2018-6-26,22.146
2018-6-27,21.239
2018-6-28,21.367
2018-6-29,20.701
2018-6-30,18.613
2018-7-1,19.376
2018-7-2,19.079
2018-7-3,20.747
2018-7-4,19.622
2018-7-5,18.029
2018-7-6,18.883
2018-7-7,25.655
2018-7-8,22.953
2018-7-9,20.281
2018-7-10,22.903
2018-7-11,23.93
2018-7-12,22.661
2018-7-13,23.079
2018-7-14,23.535
2018-7-15,18.513
2018-7-16,16.404
2018-7-17,16.725
2018-7-18,21.63
2018-7-19,21.657
2018-7-20,18.639
2018-7-21,18.516
2018-7-22,20.755
2018-7-23,18.471
2018-7-24,17.683
2018-7-25,16.136
2018-7-26,17.182
2018-7-27,17.497
2018-7-28,17.587
2018-7-29,18.623
2018-7-30,20.307
2018-7-31,20.956
2018-8-1,11.718
2018-8-2,13.972
2018-8-3,20.666
2018-8-4,22.827
2018-8-5,19.534
2018-8-6,17.761
2018-8-7,22.324
2018-8-8,22.833
2018-8-9,21.723
2018-8-10,22.476
2018-8-11,23.729
2018-8-12,27.284
2018-8-13,21.246
2018-8-14,15.109
2018-8-15,17.965
2018-8-16,18.848
2018-8-17,18.753
2018-8-18,22.945
2018-8-19,17.901
2018-8-20,15.881
2018-8-21,16.656
2018-8-22,18.731
2018-8-23,21.251
2018-8-24,21.306
2018-8-25,18.104
2018-8-26,15.8
2018-8-27,12.203
2018-8-28,13.207
2018-8-29,16.439
2018-8-30,20.186
2018-8-31,20.083
2018-9-1,16.542
2018-9-2,15.536
2018-9-3,16.787
2018-9-4,16.197
2018-9-5,11.986
2018-9-6,12.432
2018-9-7,14.499
2018-9-8,17.188
2018-9-9,19.202
2018-9-10,16.839
2018-9-11,20.264
2018-9-12,10.575
2018-9-13,13.228
2018-9-14,12.146
2018-9-15,16.452
2018-9-16,18.516
2018-9-17,9.211
2018-9-18,10.528
2018-9-19,10.726
2018-9-20,7.281
2018-9-21,9.137
2018-9-22,6.403
2018-9-23,4.736
2018-9-24,7.772
2018-9-25,8.676
2018-9-26,7.788
2018-9-27,5.444
2018-9-28,0.179
2018-9-29,3.58
2018-9-30,2.989
2018-10-1,6.232
2018-10-2,11.847
2018-10-3,4.165
2018-10-4,1.244
2018-10-5,0.302
2018-10-6,0.564
2018-10-7,1.743
2018-10-8,3.527
2018-10-9,2.877
2018-10-10,-0.853
2018-10-11,-5.232
2018-10-12,-2.568
2018-10-13,1.606
2018-10-14,-1.545
2018-10-15,-0.324
2018-10-16,1.554
2018-10-17,2.067
2018-10-18,12.766
2018-10-19,6.657
2018-10-20,-0.109
2018-10-21,6.064
2018-10-22,1.343
2018-10-23,-0.662
2018-10-24,4.801
2018-10-25,7.542
2018-10-26,6.548
2018-10-27,2.234
2018-10-28,3.859
2018-10-29,3.308
2018-10-30,4.858
2018-10-31,0.587
2018-11-1,-0.846
2018-11-2,1.193
2018-11-3,0.504
2018-11-4,-0.804
2018-11-5,-0.301
2018-11-6,-2.839
2018-11-7,-7.412
2018-11-8,-10.401
2018-11-9,-13.837
2018-11-10,-12.668
2018-11-11,-9.603
2018-11-12,-14.662
2018-11-13,-11.578
2018-11-14,-3.776
2018-11-15,-2.039
2018-11-16,-10.022
2018-11-17,-15.032
2018-11-18,-11.349
2018-11-19,-16.628
2018-11-20,-8.699
2018-11-21,-9.172
2018-11-22,-3.751
2018-11-23,-1.164
2018-11-24,-7.221
2018-11-25,-13.021
2018-11-26,-14.726
2018-11-27,-14.789
2018-11-28,-7.195
2018-11-29,-5.432
2018-11-30,-4.018
2018-12-1,-5.062
2018-12-2,-7.321
2018-12-3,-7.332
2018-12-4,-6.442
2018-12-5,-12.727
2018-12-6,-17.145
2018-12-7,-12.561
2018-12-8,-12.23
2018-12-9,-12.257
2018-12-10,-9.638
2018-12-11,-7.802
2018-12-12,-6.977
2018-12-13,-1.581
2018-12-14,-2.609
2018-12-15,-1.027
2018-12-16,-4.799
2018-12-17,-9.822
2018-12-18,-4.097
2018-12-19,-0.403
2018-12-20,-5.592
2018-12-21,-8.157
2018-12-22,-5.122
2018-12-23,-12.911
2018-12-24,-13.248
2018-12-25,-14.178
2018-12-26,-13.361
2018-12-27,-14.322
2018-12-28,-20.186
2018-12-29,-16.23
2018-12-30,-13.082
2018-12-31,-22.608
2019-1-1,-21.397
2019-1-2,-8.574
2019-1-3,-1.014
2019-1-4,-3.436
2019-1-5,-4.52
2019-1-6,-6.935
2019-1-7,-3.564
2019-1-8,-12.853
2019-1-9,-18.558
2019-1-10,-13.075
2019-1-11,-13.291
2019-1-12,-8.702
2019-1-13,-6.416
2019-1-14,-9.37
2019-1-15,-12.516
2019-1-16,-20.987
2019-1-17,-20.06
2019-1-18,-26.118
2019-1-19,-25.774
2019-1-20,-24.353
2019-1-21,-15.633
2019-1-22,-16.447
2019-1-23,-15.235
2019-1-24,-22.916
2019-1-25,-26.136
2019-1-26,-25.286
2019-1-27,-24.264
2019-1-28,-20.604
2019-1-29,-30.784
2019-1-30,-32.811
2019-1-31,-27.847
2019-2-1,-14.182
2019-2-2,-14.644
2019-2-3,-19.701
2019-2-4,-23.912
2019-2-5,-24.504
2019-2-6,-21.306
2019-2-7,-24.321
2019-2-8,-29.072
2019-2-9,-26.989
2019-2-10,-24.733
2019-2-11,-19.322
2019-2-12,-17.431
2019-2-13,-20.397
2019-2-14,-19.348
2019-2-15,-22.929
2019-2-16,-22.116
2019-2-17,-18.277
2019-2-18,-21.506
2019-2-19,-20.251
2019-2-20,-16.014
2019-2-21,-14.088
2019-2-22,-19.483
2019-2-23,-14.206
2019-2-24,-19.859
2019-2-25,-26.876
2019-2-26,-23.401
2019-2-27,-19.668
2019-2-28,-13.244
2019-3-1,-17.002
2019-3-2,-22.828
2019-3-3,-23.291
2019-3-4,-16.338
2019-3-5,-15.687
2019-3-6,-18.687
2019-3-7,-20.127
2019-3-8,-9.945
2019-3-9,-6.279
2019-3-10,-12.113
2019-3-11,-13.891
2019-3-12,-6.408
2019-3-13,-7.359
2019-3-14,-3.704
2019-3-15,-10.304
2019-3-16,-12.544
2019-3-17,-4.943
2019-3-18,-6.14
2019-3-19,-4.031
2019-3-20,-0.972
2019-3-21,0.02
2019-3-22,-3.521
2019-3-23,-1.191
2019-3-24,-4.398
2019-3-25,-6.123
2019-3-26,-2.002
2019-3-27,3.126
2019-3-28,-0.391
2019-3-29,-0.358
2019-3-30,-3.694
2019-3-31,-1.116
2019-4-1,1.274
2019-4-2,-0.572
2019-4-3,-1.299
2019-4-4,0.238
2019-4-5,1.201
2019-4-6,2.252
2019-4-7,8.317
2019-4-8,5.306
2019-4-9,-2.531
2019-4-10,-1.623
2019-4-11,-0.68
2019-4-12,-1.463
2019-4-13,0.014
2019-4-14,1.58
2019-4-15,6.818
2019-4-16,8.732
2019-4-17,8.178
2019-4-18,7.947
2019-4-19,10.398
2019-4-20,11.285
2019-4-21,10.862
2019-4-22,9.563
2019-4-23,9.756
2019-4-24,13.743
2019-4-25,7.854
2019-4-26,6.008
2019-4-27,5.598
2019-4-28,2.878
2019-4-29,1.267
2019-4-30,1.708
2019-5-1,3.181
2019-5-2,6.374
2019-5-3,9.996
2019-5-4,7.114
2019-5-5,3.587
2019-5-6,1.337
2019-5-7,4.692
2019-5-8,7.366
2019-5-9,5.578
2019-5-10,7.024
2019-5-11,12.959
2019-5-12,12.229
2019-5-13,15.326
2019-5-14,13.528
2019-5-15,13.538
2019-5-16,7.884
2019-5-17,6.789
2019-5-18,8.607
2019-5-19,9.705
2019-5-20,10.731
2019-5-21,11.791
2019-5-22,11.083
2019-5-23,13.531
2019-5-24,8.711
2019-5-25,13.408
2019-5-26,8.801
2019-5-27,11.16
2019-5-28,14.186
2019-5-29,19.233
2019-5-30,22.753
2019-5-31,14.646
2019-6-1,12.367
2019-6-2,12.239
2019-6-3,20.567
2019-6-4,24.547
2019-6-5,18.89
2019-6-6,20.046
2019-6-7,26.101
2019-6-8,16.672
2019-6-9,14.415
2019-6-10,14.286
2019-6-11,13.682
2019-6-12,12.452
2019-6-13,16.217
2019-6-14,20.203
2019-6-15,14.466
2019-6-16,12.326
2019-6-17,14.581
2019-6-18,16.26
2019-6-19,16.02
2019-6-20,16.94
2019-6-21,15.36
2019-6-22,16.455
2019-6-23,17.88
2019-6-24,18.205
2019-6-25,18.455
2019-6-26,19.08
2019-6-27,21.14
2019-6-28,20.8
2019-6-29,20.945
2019-6-30,22
2019-7-1,19.205
