Date,Topsoil
2014-10-02,15.60861111
2014-10-03,11.67445833
2014-10-04,9.987819444
2014-10-05,9.805236111
2014-10-06,9.734263889
2014-10-07,10.28472222
2014-10-08,9.412972222
2014-10-09,8.109055556
2014-10-10,8.014944444
2014-10-11,9.170208333
2014-10-12,10.13555556
2014-10-13,11.13966667
2014-10-14,9.688277778
2014-10-15,10.15594444
2014-10-16,11.36611111
2014-10-17,9.682819444
2014-10-18,8.860916667
2014-10-19,9.641958333
2014-10-20,9.285180556
2014-10-21,10.03666667
2014-10-22,11.2125
2014-10-23,10.73988889
2014-10-24,11.20698611
2014-10-25,9.724180556
2014-10-26,8.969236111
2014-10-27,8.551291667
2014-10-28,7.414125
2014-10-29,7.015847222
2014-10-30,6.49625
2014-10-31,3.559861111
2014-11-01,4.361958333
2014-11-02,5.946722222
2014-11-03,6.851930556
2014-11-04,5.690722222
2014-11-05,4.553458333
2014-11-06,4.348027778
2014-11-07,4.994208333
2014-11-08,4.573472222
2014-11-09,3.526069444
2014-11-10,1.871194444
2014-11-11,0.489958333
2014-11-12,-0.113083333
2014-11-13,-0.130097222
2014-11-14,-1.041555556
2014-11-15,-1.497694444
2014-11-16,-2.418277778
2014-11-17,-3.059666667
2014-11-18,-2.872013889
2014-11-19,-2.575333333
2014-11-20,-4.054333333
2014-11-21,-3.367861111
2014-11-22,-1.749
2014-11-23,-0.571138889
2014-11-24,-1.586194444
2014-11-25,-1.866222222
2014-11-26,-2.581833333
2014-11-27,-4.498375
2014-11-28,-3.387819444
2014-11-29,-2.59325
2014-11-30,-3.675708333
2014-12-01,-5.297833333
2014-12-02,-4.558319444
2014-12-03,-4.349597222
2014-12-04,-3.551763889
2014-12-05,-3.131777778
2014-12-06,-3.718722222
2014-12-07,-2.017527778
2014-12-08,-1.994166667
2014-12-09,-3.193027778
2014-12-10,-2.314694444
2014-12-11,-1.496208333
2014-12-12,-0.882722222
2014-12-13,-0.482763889
2014-12-14,0.092180556
2014-12-15,-0.394708333
2014-12-16,-2.580027778
2014-12-17,-4.311222222
2014-12-18,-4.617944444
2014-12-19,-2.822402778
2014-12-20,-1.674791667
2014-12-21,-1.133291667
2014-12-22,-0.568986111
2014-12-23,-0.357041667
2014-12-24,-0.267458333
2014-12-25,-0.268361111
2014-12-26,-0.956986111
2014-12-27,-3.218569444
2014-12-28,-4.749888889
2014-12-29,-7.958569444
2014-12-30,-9.083652778
2014-12-31,-7.867152778
2015-01-01,-5.103277778
2015-01-02,-4.607555556
2015-01-03,-4.645694444
2015-01-04,-7.556305556
2015-01-05,-8.480263889
2015-01-06,-8.408277778
2015-01-07,-8.975402778
2015-01-08,-7.67825
2015-01-09,-8.166222222
2015-01-10,-8.618152778
2015-01-11,-7.922666667
2015-01-12,-8.834805556
2015-01-13,-9.030611111
2015-01-14,-7.164055556
2015-01-15,-4.946555556
2015-01-16,-4.019055556
2015-01-17,-2.736263889
2015-01-18,-2.907527778
2015-01-19,-2.226666667
2015-01-20,-1.420388889
2015-01-21,-2.225236111
2015-01-22,-3.383847222
2015-01-23,-1.592597222
2015-01-24,-1.123083333
2015-01-25,-1.418930556
2015-01-26,-1.289333333
2015-01-27,-1.120111111
2015-01-28,-0.682458333
2015-01-29,-1.920902778
2015-01-30,-3.489222222
2015-01-31,-4.162805556
2015-02-01,-7.322958333
2015-02-02,-7.678472222
2015-02-03,-6.668180556
2015-02-04,-6.389180556
2015-02-05,-6.673291667
2015-02-06,-4.507569444
2015-02-07,-3.359361111
2015-02-08,-3.693208333
2015-02-09,-4.337805556
2015-02-10,-3.250458333
2015-02-11,-4.111486111
2015-02-12,-7.051666667
2015-02-13,-5.596930556
2015-02-14,-7.029694444
2015-02-15,-6.926625
2015-02-16,-5.776444444
2015-02-17,-7.1715
2015-02-18,-9.260708333
2015-02-19,-9.952291667
2015-02-20,-6.785986111
2015-02-21,-7.435763889
2015-02-22,-10.26126389
2015-02-23,-9.786180556
2015-02-24,-6.078347222
2015-02-25,-7.199888889
2015-02-26,-9.350472222
2015-02-27,-9.494569444
2015-02-28,-7.959611111
2015-03-01,-7.535861111
2015-03-02,-7.063541667
2015-03-03,-5.347791667
2015-03-04,-8.227722222
2015-03-05,-8.736513889
2015-03-06,-5.417958333
2015-03-07,-2.296472222
2015-03-08,-1.420111111
2015-03-09,-0.649375
2015-03-10,0.023597222
2015-03-11,0.460763889
2015-03-12,1.671402778
2015-03-13,1.310055556
2015-03-14,1.695097222
2015-03-15,4.228291667
2015-03-16,3.064430556
2015-03-17,0.706194444
2015-03-18,0.678069444
2015-03-19,1.370513889
2015-03-20,0.580625
2015-03-21,-0.233291667
2015-03-22,-0.018236111
2015-03-23,0.056069444
2015-03-24,0.270263889
2015-03-25,0.442847222
2015-03-26,0.099152778
2015-03-27,-0.401791667
2015-03-28,0.378777778
2015-03-29,2.417097222
2015-03-30,3.263069444
2015-03-31,4.311458333
2015-04-01,6.023958333
2015-04-02,4.427083333
2015-04-03,2.344416667
2015-04-04,2.633597222
2015-04-05,2.590069444
2015-04-06,2.269611111
2015-04-07,1.636722222
2015-04-08,2.269319444
2015-04-09,4.083097222
2015-04-10,4.885458333
2015-04-11,5.351277778
2015-04-12,6.984763889
2015-04-13,5.664916667
2015-04-14,5.965402778
2015-04-15,7.809930556
2015-04-16,9.083375
2015-04-17,8.005930556
2015-04-18,8.218083333
2015-04-19,7.286180556
2015-04-20,4.245791667
2015-04-21,2.763652778
2015-04-22,3.089875
2015-04-23,3.865583333
2015-04-24,5.388208333
2015-04-25,6.336402778
2015-04-26,7.894694444
2015-04-27,8.983444444
2015-04-28,10.07676389
2015-04-29,9.897527778
2015-04-30,10.71063889
2015-05-01,12.71402778
2015-05-02,12.47430556
2015-05-03,11.36708333
2015-05-04,10.77915278
2015-05-05,11.81190278
2015-05-06,12.33902778
2015-05-07,12.76680556
2015-05-08,9.470347222
2015-05-09,8.650944444
2015-05-10,8.086763889
2015-05-11,6.952333333
2015-05-12,8.369958333
2015-05-13,8.860555556
2015-05-14,9.952361111
2015-05-15,10.66847222
2015-05-16,11.83069444
2015-05-17,13.85527778
2015-05-18,8.866680556
2015-05-19,9.458527778
2015-05-20,11.45884722
2015-05-21,13.10680556
2015-05-22,13.865
2015-05-23,14.76125
2015-05-24,14.27916667
2015-05-25,14.38222222
2015-05-26,14.61763889
2015-05-27,16.19138889
2015-05-28,17.03847222
2015-05-29,15.06097222
2015-05-30,13.11875
2015-05-31,13.47972222
2015-06-01,13.69388889
2015-06-02,14.69527778
2015-06-03,15.13722222
2015-06-04,15.74375
2015-06-05,16.89833333
2015-06-06,16.97472222
2015-06-07,17.86694444
2015-06-08,18.97138889
2015-06-09,18.99791667
2015-06-10,18.35875
2015-06-11,19.51888889
2015-06-12,19.52902778
2015-06-13,19.64805556
2015-06-14,19.30541667
2015-06-15,18.62402778
2015-06-16,16.19902778
2015-06-17,16.67097222
2015-06-18,17.72930556
2015-06-19,18.05680556
2015-06-20,18.90180556
2015-06-21,19.51722222
2015-06-22,19.53763889
2015-06-23,19.36902778
2015-06-24,19.87347222
2015-06-25,20.31847222
2015-06-26,21.33361111
2015-06-27,20.60013889
2015-06-28,20.40555556
2015-06-29,19.69444444
2015-06-30,19.19777778
2015-07-01,19.73986111
2015-07-02,19.38305556
2015-07-03,20.26861111
2015-07-04,20.62805556
2015-07-05,21.00097222
2015-07-06,19.65388889
2015-07-07,18.68013889
2015-07-08,17.88972222
2015-07-09,19.07777778
2015-07-10,20.30166667
2015-07-11,21.12791667
2015-07-12,22.07680556
2015-07-13,21.75847222
2015-07-14,22.58291667
2015-07-15,22.43111111
2015-07-16,21.77972222
2015-07-17,22.40875
2015-07-18,21.42638889
2015-07-19,20.74347222
2015-07-20,20.52069444
2015-07-21,20.69277778
2015-07-22,21.71152778
2015-07-23,22.08388889
2015-07-24,21.99875
2015-07-25,21.24625
2015-07-26,22.28944444
2015-07-27,22.74569444
2015-07-28,22.43263889
2015-07-29,19.65555556
2015-07-30,20.81097222
2015-07-31,20.66944444
2015-08-01,21.06916667
2015-08-02,21.54097222
2015-08-03,20.23319444
2015-08-04,20.48777778
2015-08-05,20.64152778
2015-08-06,20.75722222
2015-08-07,21.61222222
2015-08-08,22.80416667
2015-08-09,21.91319444
2015-08-10,21.43458333
2015-08-11,21.62916667
2015-08-12,22.11694444
2015-08-13,22.61291667
2015-08-14,23.525
2015-08-15,24.00180556
2015-08-16,21.13125
2015-08-17,19.89194444
2015-08-18,18.20597222
2015-08-19,17.54291667
2015-08-20,17.82458333
2015-08-21,18.95611111
2015-08-22,19.17555556
2015-08-23,17.09430556
2015-08-24,16.61111111
2015-08-25,16.37708333
2015-08-26,16.60666667
2015-08-27,18.22472222
2015-08-28,19.69222222
2015-08-29,19.89097222
2015-08-30,20.32361111
2015-08-31,20.40763889
2015-09-01,20.20527778
2015-09-02,21.60208333
2015-09-03,22.48722222
2015-09-04,22.26125
2015-09-05,21.82333333
2015-09-06,21.57069444
2015-09-07,18.29666667
2015-09-08,17.60541667
2015-09-09,17.30916667
2015-09-10,16.28236111
2015-09-11,15.9075
2015-09-12,15.72527778
2015-09-13,17.18902778
2015-09-14,18.45402778
2015-09-15,19.45236111
2015-09-16,19.49097222
2015-09-17,18.10847222
2015-09-18,15.00430556
2015-09-19,15.20458333
2015-09-20,16.24041667
2015-09-21,17.55444444
2015-09-22,16.40888889
2015-09-23,14.59305556
2015-09-24,16.41
2015-09-25,17.81027778
2015-09-26,17.88388889
2015-09-27,18.14944444
2015-09-28,16.70569444
2015-09-29,14.56055556
2015-09-30,14.38388889
2015-10-01,14.18361111
2015-10-02,13.41402778
2015-10-03,12.97888889
2015-10-04,13.08097222
2015-10-05,13.37
2015-10-06,13.40333333
2015-10-07,11.65916667
2015-10-08,11.89194444
2015-10-09,11.96320833
2015-10-10,13.11611111
2015-10-11,14.30819444
2015-10-12,12.17215278
2015-10-13,11.11802778
2015-10-14,10.75972222
2015-10-15,10.08277778
2015-10-16,7.617722222
2015-10-17,8.070763889
2015-10-18,9.938777778
2015-10-19,11.50666667
2015-10-20,11.82625
2015-10-21,11.57990278
2015-10-22,9.898125
2015-10-23,10.33861111
2015-10-24,9.710402778
2015-10-25,8.772847222
