Date,Topsoil
2015-01-13,-7.580472222
2015-01-14,-6.099402778
2015-01-15,-4.309347222
2015-01-16,-3.905736111
2015-01-17,-2.32575
2015-01-18,-2.574791667
2015-01-19,-2.243152778
2015-01-20,-1.818083333
2015-01-21,-1.775416667
2015-01-22,-1.932430556
2015-01-23,-1.189555556
2015-01-24,-1.096861111
2015-01-25,-0.815986111
2015-01-26,-0.595958333
2015-01-27,-0.590263889
2015-01-28,-0.665986111
2015-01-29,-1.188263889
2015-01-30,-1.962569444
2015-01-31,-3.008958333
2015-02-01,-4.695611111
2015-02-02,-5.180083333
2015-02-03,-4.764847222
2015-02-04,-4.861472222
2015-02-05,-4.723555556
2015-02-06,-4.154402778
2015-02-07,-3.564430556
2015-02-08,-3.980083333
2015-02-09,-4.476166667
2015-02-10,-4.293736111
2015-02-11,-5.971583333
2015-02-12,-7.850291667
2015-02-13,-5.768375
2015-02-14,-6.218902778
2015-02-15,-6.050444444
2015-02-16,-4.826388889
2015-02-17,-5.448375
2015-02-18,-7.072902778
2015-02-19,-6.954694444
2015-02-20,-4.757625
2015-02-21,-4.542180556
2015-02-22,-6.343138889
2015-02-23,-6.606930556
2015-02-24,-4.2375
2015-02-25,-4.302555556
2015-02-26,-5.238472222
2015-02-27,-5.886347222
2015-02-28,-5.426666667
2015-03-01,-5.395819444
2015-03-02,-5.152805556
2015-03-03,-5.114819444
2015-03-04,-6.360125
2015-03-05,-6.697222222
2015-03-06,-5.086819444
2015-03-07,-2.834180556
2015-03-08,-2.165125
2015-03-09,-1.505902778
2015-03-10,-0.886902778
2015-03-11,-0.504430556
2015-03-12,0.284375
2015-03-13,0.878222222
2015-03-14,1.248791667
2015-03-15,2.530166667
2015-03-16,1.537916667
2015-03-17,0.257625
2015-03-18,0.168208333
2015-03-19,0.65475
2015-03-20,0.523055556
2015-03-21,-0.158263889
2015-03-22,-0.241736111
2015-03-23,-0.226722222
2015-03-24,-0.214
2015-03-25,-0.089180556
2015-03-26,0.083055556
2015-03-27,0.452541667
2015-03-28,1.551972222
2015-03-29,3.150625
2015-03-30,3.249597222
2015-03-31,3.689069444
2015-04-01,4.190736111
2015-04-02,2.198111111
2015-04-03,0.760777778
2015-04-04,1.360402778
2015-04-05,1.097347222
2015-04-06,0.512194444
2015-04-07,0.327694444
2015-04-08,0.739847222
2015-04-09,2.060916667
2015-04-10,3.011236111
2015-04-11,4.594291667
2015-04-12,5.409180556
2015-04-13,4.526097222
2015-04-14,4.598472222
2015-04-15,6.618527778
2015-04-16,6.722430556
2015-04-17,6.425583333
2015-04-18,6.561236111
2015-04-19,5.918708333
2015-04-20,4.179777778
2015-04-21,3.997847222
2015-04-22,4.203638889
2015-04-23,4.033152778
2015-04-24,4.907111111
2015-04-25,5.723416667
2015-04-26,6.118180556
2015-04-27,6.163902778
2015-04-28,7.25925
2015-04-29,8.609625
2015-04-30,8.859958333
2015-05-01,8.690708333
2015-05-02,10.04986111
2015-05-03,10.71486111
2015-05-04,10.19069444
2015-05-05,11.06041667
2015-05-06,11.47888889
2015-05-07,10.88222222
2015-05-08,9.190555556
2015-05-09,9.1235
2015-05-10,8.280875
2015-05-11,8.367611111
2015-05-12,8.972402778
2015-05-13,9.047361111
2015-05-14,8.564722222
2015-05-15,9.647569444
2015-05-16,10.30805556
2015-05-17,8.966486111
2015-05-18,7.358513889
2015-05-19,8.807402778
2015-05-20,10.71291667
2015-05-21,12.27180556
2015-05-22,13.33083333
2015-05-23,14.09402778
2015-05-24,14.70694444
2015-05-25,15.42291667
2015-05-26,15.63180556
2015-05-27,15.7725
2015-05-28,16.35388889
2015-05-29,14.73638889
2015-05-30,13.55347222
2015-05-31,13.68375
2015-06-01,14.65319444
2015-06-02,15.37694444
2015-06-03,14.83597222
2015-06-04,14.7425
2015-06-05,15.67013889
2015-06-06,16.75611111
2015-06-07,17.82069444
2015-06-08,18.45041667
2015-06-09,19.2775
2015-06-10,18.23736111
2015-06-11,18.47027778
2015-06-12,18.96722222
2015-06-13,19.375
2015-06-14,18.84152778
2015-06-15,17.81777778
2015-06-16,16.80152778
2015-06-17,17.56847222
2015-06-18,18.39277778
2015-06-19,18.52944444
2015-06-20,19.85291667
2015-06-21,19.73958333
2015-06-22,19.34305556
2015-06-23,19.55152778
2015-06-24,19.51833333
2015-06-25,19.28833333
2015-06-26,19.79458333
2015-06-27,21.29569444
2015-06-28,20.89791667
2015-06-29,21.67847222
2015-06-30,21.44916667
2015-07-01,20.57472222
2015-07-02,21.06041667
2015-07-03,21.53847222
2015-07-04,22.04611111
2015-07-05,21.35513889
