Date,Temp
1990-4-24,15.533
1990-4-25,8.325
1990-4-26,4.516
1990-4-27,-3.118
1990-4-28,-2.737
1990-4-29,-1.505
1990-4-30,0.464
1990-5-1,4.866
1990-5-2,6.745
1990-5-3,9.15
1990-5-4,9.114
1990-5-5,12.334
1990-5-6,18.11
1990-5-7,9.881
1990-5-8,8.516
1990-5-9,6.894
1990-5-10,8.699
1990-5-11,8.843
1990-5-12,9.659
1990-5-13,10.389
1990-5-14,10.094
1990-5-15,7.468
1990-5-16,8.227
1990-5-17,7.754
1990-5-18,5.698
1990-5-19,10.574
1990-5-20,11.84
1990-5-21,15.53
1990-5-22,15.255
1990-5-23,15.086
1990-5-24,18.325
1990-5-25,15.52
1990-5-26,12.13
1990-5-27,13.251
1990-5-28,17.09
1990-5-29,18.02
1990-5-30,19.71
1990-5-31,20.275
1990-6-1,21.16
1990-6-2,10.284
1990-6-3,11.043
1990-6-4,14.565
1990-6-5,12.665
1990-6-6,15.685
1990-6-7,18.38
1990-6-8,16.255
1990-6-9,19.24
1990-6-10,22.355
1990-6-11,18.89
1990-6-12,16.69
1990-6-13,15.815
1990-6-14,11.385
1990-6-15,12.425
1990-6-16,13.88
1990-6-17,15.22
1990-6-18,19.735
1990-6-19,19.255
1990-6-20,18.505
1990-6-21,18.47
1990-6-22,17.623
1990-6-23,18.886
1990-6-24,23.79
1990-6-25,24.22
1990-6-26,23.87
1990-6-27,20.115
1990-6-28,23.37
1990-6-29,20.475
1990-6-30,20.54
1990-7-1,23.18
1990-7-2,24.804
1990-7-3,20.715
1990-7-4,15.012
1990-7-5,16.657
1990-7-6,24.895
1990-7-7,22.1
1990-7-8,22.025
1990-7-9,23.965
1990-7-10,22.88
1990-7-11,19.53
1990-7-12,20.13
1990-7-13,23.19
1990-7-14,26.255
1990-7-15,23.14
1990-7-16,24.79
1990-7-17,23.99
1990-7-18,19.015
1990-7-19,21.205
1990-7-20,19.59
1990-7-21,18.89
1990-7-22,21.389
1990-7-23,23.889
1990-7-24,26.111
1990-7-25,25.1
1990-7-26,26.727
1990-7-27,25.433
1990-7-28,23.692
1990-7-29,20.833
1990-7-30,21.408
1990-7-31,25.041
1990-8-1,27.679
1990-8-2,22.857
1990-8-3,16.502
1990-8-4,17.244
1990-8-5,21.302
1990-8-6,24.703
1990-8-7,24.362
1990-8-8,22.558
1990-8-9,18.446
1990-8-10,18.191
1990-8-11,16.075
1990-8-12,17.301
1990-8-13,22.592
1990-8-14,18.656
1990-8-15,23.866
1990-8-16,23.758
1990-8-17,19.045
1990-8-18,14.91
1990-8-19,20.091
1990-8-20,22.948
1990-8-21,24.415
1990-8-22,25.899
1990-8-23,23.713
1990-8-24,23.863
1990-8-25,22.896
1990-8-26,22.583
1990-8-27,24.488
1990-8-28,23.571
1990-8-29,23.268
1990-8-30,22.618
1990-8-31,21.543
1990-9-1,19.959
1990-9-2,23.497
1990-9-3,25.559
1990-9-4,20.43
1990-9-5,26.402
1990-9-6,26.95
1990-9-7,23.611
1990-9-8,24.167
1990-9-9,19.722
1990-9-10,21.266
1990-9-11,22.681
1990-9-12,22.038
1990-9-13,20.546
1990-9-14,22.227
1990-9-15,20.161
1990-9-16,18.716
1990-9-17,10.582
1990-9-18,11.221
1990-9-19,14.118
1990-9-20,9.501
1990-9-21,7.307
1990-9-22,5.801
1990-9-23,13.273
1990-9-24,18.98
1990-9-25,19.587
1990-9-26,14.246
1990-9-27,10.066
1990-9-28,8.183
1990-9-29,7.336
1990-9-30,9.812
1990-10-1,12.909
1990-10-2,10.981
1990-10-3,7.82
1990-10-4,9.527
1990-10-5,14.789
1990-10-6,3.172
1990-10-7,2.129
1990-10-8,5.073
1990-10-9,8.794
1990-10-10,10.749
1990-10-11,4.411
1990-10-12,5.849
1990-10-13,8.588
1990-10-14,5.722
1990-10-15,6.96
1990-10-16,3.543
1990-10-17,-0.301
1990-10-18,4.476
1990-10-19,5.453
1990-10-20,0.998
1990-10-21,1.975
1990-10-22,8.083
1990-10-23,4.45
1990-10-24,2.265
1990-10-25,12.513
1990-10-26,14.995
1990-10-27,3.82
1990-10-28,7.105
1990-10-29,7.957
1990-10-30,9.526
1990-10-31,14.364
1990-11-1,7.706
1990-11-2,-1.898
1990-11-3,-4.507
1990-11-4,-2.443
1990-11-5,-3.367
1990-11-6,-7.625
1990-11-7,-1.41
1990-11-8,3.45
1990-11-9,-3.895
1990-11-10,-1.948
1990-11-11,1.227
1990-11-12,-2.556
1990-11-13,4.385
1990-11-14,8.428
1990-11-15,3.83
1990-11-16,1.71
1990-11-17,5.4
1990-11-18,2.523
1990-11-19,4.72
1990-11-20,4.34
1990-11-21,0.914
1990-11-22,-3.572
1990-11-23,-7.57
1990-11-24,-2.652
1990-11-25,-12.75
1990-11-26,-11.93
1990-11-27,-12.645
1990-11-28,-9.19
1990-11-29,0.24
1990-11-30,-3.622
1990-12-1,-10.835
1990-12-2,-13.965
1990-12-3,-14.195
1990-12-4,-8.031
1990-12-5,0.974
1990-12-6,-1.647
1990-12-7,3.64
1990-12-8,3.945
1990-12-9,4.789
1990-12-10,-0.821
1990-12-11,-1.462
1990-12-12,-5.338
1990-12-13,-11.215
1990-12-14,-5.311
1990-12-15,-3.718
1990-12-16,-7.416
1990-12-17,-14.445
1990-12-18,-14.545
1990-12-19,-24.2
1990-12-20,-28.3
1990-12-21,-30.65
1990-12-22,-28.1
1990-12-23,-20
1990-12-24,-16.305
1990-12-25,-28.25
1990-12-26,-25.4
1990-12-27,-9.853
1990-12-28,-24.4
1990-12-29,-29.6
1990-12-30,-24.45
1990-12-31,-16.25
1991-1-1,-22.7
1991-1-2,-21.8
1991-1-3,-21.65
1991-1-4,-17.2
1991-1-5,-19.55
1991-1-6,-25.1
1991-1-7,-22.35
1991-1-8,-21.25
1991-1-9,-26.4
1991-1-10,-18.25
1991-1-11,-11.955
1991-1-12,-7.802
1991-1-13,-4.333
1991-1-14,-4.969
1991-1-15,-5.173
1991-1-16,-6.585
1991-1-17,-6.091
1991-1-18,1.634
1991-1-19,-7.438
1991-1-20,-18.65
1991-1-21,-8.933
1991-1-22,-3.9
1991-1-23,-16.785
1991-1-24,-21.85
1991-1-25,-13.655
1991-1-26,-8.7
1991-1-27,-6.89
1991-1-28,-18.3
1991-1-29,-18.8
1991-1-30,-14.855
1991-1-31,-8.685
1991-2-1,-0.195
1991-2-2,6.167
1991-2-3,6.461
1991-2-4,5.846
1991-2-5,5.994
1991-2-6,2.95
1991-2-7,6.36
1991-2-8,1.71
1991-2-9,-1.931
1991-2-10,-8.26
1991-2-11,-4.126
1991-2-12,-2.44
1991-2-13,-6.326
1991-2-14,-16.45
1991-2-15,-13.16
1991-2-16,-2.749
1991-2-17,-4.18
1991-2-18,-2.409
1991-2-19,-1.536
1991-2-20,5.899
1991-2-21,-2.565
1991-2-22,-12.315
1991-2-23,-12.55
1991-2-24,-13.005
1991-2-25,-9.36
1991-2-26,-5.535
1991-2-27,-5.54
1991-2-28,-6.755
1991-3-1,-17.3
1991-3-2,-17.9
1991-3-3,-5.048
1991-3-4,0.914
1991-3-5,-8.26
1991-3-6,-12.47
1991-3-7,-6.45
1991-3-8,-3.408
1991-3-9,2.905
1991-3-10,3.345
1991-3-11,0.72
1991-3-12,0.602
1991-3-13,-0.072
1991-3-14,0.915
1991-3-15,0.975
1991-3-16,0.624
1991-3-17,3.977
1991-3-18,5.59
1991-3-19,7.345
1991-3-20,5.585
1991-3-21,5.69
1991-3-22,0.642
1991-3-23,5.999
1991-3-24,0.697
1991-3-25,1.955
1991-3-26,-6.45
1991-3-27,-9.023
1991-3-28,-6.534
1991-3-29,-4.164
1991-3-30,5.034
1991-3-31,5.3
1991-4-1,8.85
1991-4-2,13.054
1991-4-3,10.839
1991-4-4,12.506
1991-4-5,17.43
1991-4-6,12.834
1991-4-7,8.493
1991-4-8,5.03
1991-4-9,6.81
1991-4-10,10.219
1991-4-11,7.449
1991-4-12,6.022
1991-4-13,1.37
1991-4-14,1.622
1991-4-15,3.089
1991-4-16,7.027
1991-4-17,8.9
1991-4-18,2.304
1991-4-19,1.65
