Year,Date,Bottineau,Carrington,Dickinson,Fargo,Grand Forks,Hettinger,Langdon,Minot,Streeter,Williston,Average
2003,10/1/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/2/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/3/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/4/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/5/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/6/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/7/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/8/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/9/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/10/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/11/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/12/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/13/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/14/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/15/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/16/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.8
2003,10/17/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/18/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/19/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/20/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/21/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/22/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/23/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/24/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/25/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/26/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/27/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/28/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
2003,10/29/2003,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,1.1
2003,10/31/2003,49.00,32.00,28.00,0.00,0.00,8.00,13.00,90.00,10.00,87.00,31.7
2003,11/1/2003,43.00,25.00,32.00,0.00,0.00,13.00,8.00,80.00,8.00,81.00,29
2003,11/2/2003,37.00,20.00,30.00,0.00,0.00,15.00,7.00,71.00,6.00,77.00,26.3
2003,11/3/2003,33.00,17.00,27.00,0.00,0.00,14.00,3.00,66.00,5.00,74.00,23.9
2003,11/4/2003,41.00,16.00,77.00,4.00,0.00,48.00,0.00,86.00,2.00,122.00,39.6
2003,11/5/2003,71.00,52.00,80.00,62.00,28.00,47.00,22.00,124.00,35.00,133.00,65.4
2003,11/6/2003,72.00,48.00,73.00,55.00,24.00,43.00,18.00,116.00,30.00,126.00,60.5
2003,11/7/2003,68.00,41.00,64.00,49.00,21.00,37.00,14.00,108.00,22.00,118.00,54.2
2003,11/8/2003,67.00,38.00,60.00,46.00,19.00,34.00,12.00,104.00,20.00,113.00,51.3
2003,11/9/2003,62.00,35.00,57.00,42.00,16.00,33.00,8.00,98.00,16.00,110.00,47.7
2003,11/10/2003,60.00,33.00,51.00,40.00,15.00,29.00,4.00,94.00,15.00,108.00,44.9
2003,11/11/2003,54.00,31.00,0.00,11.00,16.00,0.00,0.00,8.00,14.00,104.00,23.8
2003,11/12/2003,51.00,24.00,0.00,4.00,16.00,0.00,0.00,13.00,2.00,104.00,21.4
2003,11/13/2003,51.00,33.00,0.00,15.00,39.00,0.00,0.00,9.00,7.00,100.00,25.4
2003,11/14/2003,143.00,85.00,37.00,0.00,61.00,59.00,134.00,111.00,8.00,126.00,76.4
2003,11/15/2003,140.00,83.00,36.00,0.00,57.00,55.00,117.00,104.00,4.00,125.00,72.1
2003,11/16/2003,138.00,81.00,35.00,0.00,55.00,51.00,108.00,100.00,5.00,125.00,69.8
2003,11/17/2003,133.00,22.00,6.00,0.00,13.00,10.00,69.00,95.00,0.00,124.00,47.2
